Name                               ,IMDb Rating ,Running Years                                                    ,Information
Mad Men                            ,8.6         ,2007–2015                                                        ,"When HBO famously rejected his series pitch, creator Matthew Weiner took the show over to AMC, where it redefined the network as a viable destination for prestige television. Set in the halls of a New York advertising agency in the 1960s, the acclaimed show was praised for its period authenticity, social commentary, and strong performances. Standout actors among the cast included Jon Hamm, who played the smooth-but-tortured leading man Don Draper, and Elisabeth Moss, who played a secretary who manages to rise up the ranks in the agency despite rampant misogyny in the workforce. The show garnered a whopping 116 Emmy Awards nominations during its eight-year run, winning 16 in total."
The Haunting of Hill House         ,8.6         ,2018                                                             ,"Horror filmmaker Mike Flanagan created and directed “The Haunting of Hill House.” The show is based on Shirley Jackson’s 1959 novel, with the show focusing on two different time periods revolving around a family’s paranormal experiences in the Hill House. The ensemble cast includes actors Michiel Huisman, Elizabeth Reaser, Oliver Jackson-Cohen, Kate Siegel, and Victoria Pedretti. The show was succeeded with a new story called “The Haunting of Bly Manor” in 2020."
The X-Files                        ,8.6         ,"1993–2002, January 2016–February 2016, January 2018–March 2018" ,"Mulder and Scully form the iconic duo portrayed by David Duchovny and Gillian Anderson, respectively, in “The X-Files.” The pair of FBI agents investigated cases involving the paranormal, with Mulder believing in the existence of aliens and Scully remaining the skeptic. The series was a pop culture phenomenon, spawning two feature films and two seasons for a revival. The cult classic also garnered 61 Emmy Awards nominations, winning 15 trophies."
The Crown                          ,8.6         ,2016–present                                                     ,"This acclaimed Netflix historical drama explores the life of Queen Elizabeth II. The show was created by Peter Morgan and evolved out of his award-winning 2006 film “The Queen.” Season one begins when Elizabeth (Claire Foy) is only 25 and a princess, and focuses on her relationship with grizzled Prime Minister Winston Churchill (John Lithgow). Starting in season three, Olivia Colman took over for Claire Foy as queen. The show has taken home over 20 Emmy Awards, including Outstanding Lead Actress In A Drama Series in 2021 for Olivia Coleman and Outstanding Directing For A Drama Series in 2021."
Archer                             ,8.6         ,2009–present                                                     ,"This FX animated hit milks workplace comedy from an unlikely source: a spy agency. H. Jon Benjamin lends his distinctive voice to the main character, an arrogant and juvenile superspy, while the late Jessica Walter of “Arrested Development” played his overbearing mother who also happens to run the agency."
This Is Us                         ,8.6         ,2016–present                                                     ,"This popular NBC dramedy from Dan Fogelman about three siblings struggling through adulthood is all about tugging heartstrings. Although some critics have found the proceedings too saccharine to recommend, the show has been nominated for, and has won, a number of awards. Among the awards the show received included four Emmy Awards."
Star Trek: The Next Generation     ,8.6         ,1987–1994                                                        ,"A 50,000-vote poll by StarTrek.com found that Jean-Luc Picard (played by Patrick Stewart) beat out James T. Kirk as fans’ favorite “Star Trek” captain of all time. That says a lot for this series, set 99 years after the original show, whose popularity peaked with a series finale that drew 31 million viewers. This Enterprise crew also went on to star in four feature films, the first of which combined the original series and TNG casts through a time travel plot. Among the show's accolades include 19 Emmy Awards and five Saturn Awards."
The Newsroom                       ,8.6         ,2012–2014                                                        ,"Aaron Sorkin (“The West Wing,” “The Social Network”) co-created this HBO news drama alongside producer Denis Biggs. Jeff Daniels stars as a principled but unpredictable cable news anchor. Critics found the first season smug and preachy but warmed to the show over subsequent seasons. During its run, the show was honored with the 2012 Critics' Choice Television Award for Most Exciting New Series."
Deadwood                           ,8.6         ,2004–2006                                                        ,"Series creator David Milch initially tried to pitch HBO a show set during the Roman period. But when it turned out the network already had such a show in the works (“Rome”), Milch reworked the concept to a Western frontier town setting. The show features poetic, almost Shakespearean dialogue, and standout performances from Timothy Olyphant as Deadwood’s sheriff and Ian McShane as a brothel owner. Its relatively short run left fans clamoring for more, and finally, they received a long-discussed ""Deadwood"" movie in May 2019. The ""Deadwood"" series won eight of its 28 Emmy Awards nominations and one Golden Globe."
Justified                          ,8.6         ,2010–2015                                                        ,"This FX show saw Timothy Olyphant, who played the sheriff on HBO’s “Deadwood,” portraying Raylan Givens, a maverick U.S. marshal who returns to his hometown in Kentucky to take on the criminal element there. The character of Givens is adapted from an Elmore Leonard short story. Critics praised Olyphant’s performance and the show’s seedy worldbuilding. The show brought home two of the eight Emmy Awards nominations it received during its five-year run."
Adventure Time                     ,8.6         ,2010–2018                                                        ,"This Cartoon Network show follows the adventures of a boy and his best friend, a talking dog who can change his size and shape at will, in a mystical and magical realm. While the premise may sound familiar, the show’s sweet but strange tone sets it apart. Creator Pendleton Ward has acknowledged influences as far-ranging as “Dungeons and Dragons,” “Beavis and Butthead,” and “Ren and Stimpy.” Another unusual aspect of the show is its approach to voice casting. While many animated shows employ adult actors for their child characters, “Adventure Time” cast an actual child actor (Jeremy Shada) to voice the character of Finn. As such, Finn’s voice deepened through the show’s run, as Shada progressed through puberty. The beloved animated series received 15 Emmy Awards nominations, winning eight trophies in total."
Friday Night Lights                ,8.6         ,2006–2011                                                        ,"After adapting the non-fiction book “Friday Night Lights” into a 2004 film, filmmaker Peter Berg brought this story to the small screen. Focusing on a high school football team in a small town in Texas, the series tackled a number of contemporary American societal issues. The show also accelerated the careers of actors Kyle Chandler, Taylor Kitsch, Jesse Plemons, and Michael B. Jordan. “Friday Night Lights” also received 12 Emmy Awards nominations, winning three."
Mr. Robot                          ,8.5         ,2015–2019                                                        ,"This surprise USA Network hit tells the story of a hacker named Elliot (Rami Malek) with social anxiety disorder, clinical depression, and, unbeknownst to him through most of the first season, a split personality (dissociative identity disorder). Christian Slater plays his Tyler Durden-esque alter ego with scenery-chewing aplomb. Following its four-year run, the show received 13 Emmy Awards nominations, winning three."
Sons of Anarchy                    ,8.5         ,2008–2014                                                        ,"This FX crime drama revolved around a motorcycle gang based out of Central California. Critics appreciated the uncompromising grittiness of the show and the strength of the ensemble cast, which included Ron Perlman, Charlie Hunnam, and Katey Sagal. For the sake of authenticity, the producers even cast Oakland Hell’s Angel David Labrava to play one of the biker gang members, in addition to his role as a consultant for the show. “Sons of Anarchy” earned five Emmy Awards nominations during its six-year run."
Hannibal                           ,8.5         ,2013–2015                                                        ,"Based on the Thomas Harris novels “Red Dragon” and “Hannibal,” this show sees Mads Mikkelsen stepping into the role of brilliant forensic psychologist/cannibalistic serial killer Hannibal Lecter (previously portrayed by Anthony Hopkins and Brian Cox in movie adaptations of Harris’s novels). Hugh Dancy plays his protégé, a profiler who is unaware of his mentor’s secret double life. The show employed José Andrés, a prominent restaurateur, to serve as a consultant in order to ensure that Lecter’s culinary preparation of human flesh was realistic. During its run, “Hannibal” received an Emmy Awards nomination for Outstanding Special Visual Effects In A Supporting Role in 2016."
Community                          ,8.5         ,2009–2015                                                        ,"Joel McHale plays a lawyer who’s disbarred for lying about his academic credentials and forced to attend community college in order to resume his career in this NBC favorite. He joins a study group for Spanish class that makes up the show's cast, with perfectly cast Ken Jeong playing their Spanish teacher. In addition to helping launch the career of Donald Glover, the show featured Chevy Chase in a supporting role. Chase’s public feud with the show’s writers and producers received significant media coverage toward the end of the show’s run. “Community” earned three Emmy Awards nominations during its run, including a bid for Outstanding Writing for a Comedy Series."
Spartacus                          ,8.5         ,2010–2013                                                        ,"Steven S. DeKnight, who went on to develop “Daredevil” on Netflix and “Pacific Rim: Uprising,” created the Starz show based on the historical gladiator Spartacus. Initially starring Andy Whitfield as the title character, the show focuses on the slave uprising begat by Spartacus. In 2004, the show received an Emmy nomination for Outstanding Sound Editing For A Miniseries, Movie Or A Special. Whitfield died of non-Hodgkin’s lymphoma in 2011, and Liam McIntyre replaced him in the leading role."
Shameless                          ,8.5         ,2011–2021                                                        ,"A remake of a British series, this Showtime dramedy takes on the struggles of a Chicago family headed by a deadbeat patriarch (William H. Macy) whose only concerns are what his next scheme will be and where his next beer will come from. Although some critics initially thought Macy was miscast, he has racked up three Screen Actors Guild awards for his performance in the role. The show's ninth season made it the longest-running Showtime show in the network's history. Emmy Rossum, who plays Macy's eldest daughter Fiona, did not return as a regular for the 10th season, and the show concluded with its 11th and final season in 2021. During the show's decade-long run, ""Shameless"" took home four of its 16 Emmy Awards nominations."
The Punisher                       ,8.5         ,2017–2019                                                        ,"Jon Bernthal (“The Walking Dead”) plays a vigilante superhero whose revenge quest brings him face to face with New York’s underworld. Critics found the first season to be a slow start, but Marvel fans hungry for more content between movies were willing to jump on board. The show was nominated for an Emmy Award for Outstanding Stunt Coordination For A Drama Series, Limited Series Or Movie in 2018."
Boardwalk Empire                   ,8.5         ,2010–2014                                                        ,"This crime drama starred Steve Buscemi as an Atlantic City mob boss during the Prohibition era. While not a hit on the same level as HBO’s contemporary Mafia series “The Sopranos,” the show received positive reviews. What’s more, it won 20 Primetime Emmy Awards over its run, as well as a Golden Globe for Best Television Series–Drama in 2011."
Big Little Lies                    ,8.5         ,2017-2019                                                        ,"This HBO drama, based on the best-selling novel by Liane Moriarty of the same name, features an A-list cast that includes Reese Witherspoon, Nicole Kidman, and Laura Dern. The show is set in a wealthy coastal town in California where deception and murder lurk beneath the picture-perfect surface. Despite initially being billed as a miniseries HBO brought it back for a second season, adding Meryl Streep to the stacked cast. The series received 21 Emmy Awards nominations, winning eight."
Silicon Valley                     ,8.5         ,2014–2019                                                        ,"Created by Mike Judge (“Beavis and Butthead,” “Office Space”) this HBO comedy chronicles the rise of a software startup run and staffed by geeky programmers. Critics and fans heralded the strong joke writing and a standout performance by T.J. Miller as Erlich, the world’s most obnoxious business mentor. Although difficulties on set led to Miller’s departure from the show at the end of the fourth season, the show continued to draw unanimously positive reviews all the way up to its finale; it finished its run on HBO in 2019. The show garnered two of its 41 Emmy Awards nominations during its five-year run."
The Expanse                        ,8.5         ,2015–2022                                                        ,"Originally on the Syfy channel, this show based on “The Expanse” series of books is set in a universe where the solar system has been colonized. An ice hauler ship named the Canterbury is involved in an accident, sending the crew into the center of a conspiracy that threatens the uneasy peace among different planetary governments. Canceled in 2018, Amazon revived the series for new seasons on Prime. Amazon began airing the show’s sixth and final season in December 2021."
Louie                              ,8.5         ,2010–2015                                                        ,"Written, directed, created, edited, and produced by comedian Louis C.K., who also starred, this show constantly subverted expectations of television as a format. The tone oscillated unpredictably between funny and serious, the visual and editing style varied wildly between episodes, and the show played fast and loose with continuity. The show took home three of its 22 Emmy Awards nominations, including the trophy for Outstanding Casting For A Comedy Series."
Flight of the Conchords            ,8.5         ,2007–2009                                                        ,"New Zealand musicians and comedy performers Jemaine Clement and Bret McKenzie star as fictionalized versions of themselves in “Flight of the Conchords.” Unlike in real life, the duo are struggling musicians, uprooted from New Zealand in an attempt to make it big in New York City. Kristen Schaal co-stars as the duo’s only fan, with Rhys Darby as their incompetent manager. The show was nominated for an Emmy for Outstanding Original Music And Lyrics in 2008."
Supernatural                       ,8.4         ,2005–2020                                                        ,"Debuting on The WB (and continuing its run on The CW when the network changed names), this sci-fi/horror series follows a pair of vigilante brothers hunting down various supernatural entities. It concluded its run in 2020 and stands as CW's longest-running show and the longest-running live-action fantasy series of all time."
Modern Family                      ,8.4         ,2009–2020                                                        ,"Applauded by critics for its fresh writing and eclectic characters, “Modern Family” adds second marriages, gay relationships, and large age gaps between partners into the mix to shake up the old nuclear family sitcom formula. The show won Emmy Awards and six Writers Guild of America Awards."
Suits                              ,8.4         ,2011–present                                                     ,"A hotshot Manhattan lawyer hires a talented college dropout despite his lack of a law degree, forging a secret between them. While some critics dismissed the show as inessential, others found the sharp dialogue and lead chemistry sufficient to give this show an edge in the crowded legal drama genre. Star Meghan Markle would go on to royal fame, marrying British Prince Harry in May 2018. The show produced a Jessica Pearson spin-off, titled “Pearson,” that canceled after a single season in 2019."
Brooklyn Nine-Nine                 ,8.4         ,2013–present                                                     ,"This goofy cop show stars former “SNL” cast member Andy Samberg as a juvenile and irreverent detective who’s forced to shape up when a strict new commanding officer (Andre Braugher) takes over his precinct. Critics praised the show’s easygoing humor along with Samberg’s charming performance, and following its debut season “Brooklyn Nine-Nine” clinched Golden Globes for best series and best actor in the Musical/Comedy category. Additionally, the show received 11 Emmy nominations, bringing home two. It was eventually canceled by Fox, but NBC picked it up for several more seasons."
Fringe                             ,8.4         ,2008–2013                                                        ,"The same team behind the 2009 big-screen “Star Trek” reboot, J.J. Abrams, Alex Kurtzman, and Roberto Orci launched this Fox show about a Boston-based FBI team that explores mysteries related to the existence of parallel universes. While it didn’t quite manage to seize the zeitgeist to the degree of Abrams’ previous hit, “Lost,” the show received positive reviews that improved with each subsequent season. Additionally, the series garnered two Emmy Awards nominations."
Futurama                           ,8.4         ,1999–2013                                                        ,"Fox’s animated show from “The Simpsons” creator Matt Groening follows the adventures of an interplanetary delivery outfit, parodying movies and TV shows from all corners of science fiction along the way. Although it never rose to the level of popularity of “The Simpsons,” the show received almost universal critical acclaim, with 14 Emmy nominations and six wins over the course of its run. Among them included the award for Outstanding Animated Program, which the show took the Emmy for several times."
The Handmaid's Tale                ,8.4         ,2017–present                                                     ,"Based on the dystopian novel by Margaret Atwood, this acclaimed Hulu show stars Elisabeth Moss as a woman struggling for freedom in a misogynistic, alternate-reality version of America that has been taken over by religious extremists. Far more critically and commercially successful than the ill-fated 1990 feature film of the same name, “The Handmaid’s Tale” has received critical acclaim and sufficient zeitgeist traction to warrant a “Saturday Night Live” parody."
Person of Interest                 ,8.4         ,2011–2016                                                        ,"Like several shows on this list, the first season of “Person of Interest” received a mixed response from critics for its shallow character development, while later seasons seemed to remedy the issue. The story sees an ex-CIA operative and a scientist teaming up to try to prevent crimes before they occur. The show’s creator, Jonathan Nolan, is the brother of director Christopher Nolan. In 2012, the show received an Emmy nomination for Outstanding Sound Mixing For A Comedy Or Drama Series (One Hour)."
Entourage                          ,8.4         ,2004–2011                                                        ,"This HBO guilty pleasure follows the career of Vincent Chase, an actor from Queens who brings a tagalong crew of friends from the old neighborhood with him for his ride to Hollywood stardom. Reviewers enjoyed Jeremy Piven’s portrayal of Vince’s slimy Hollywood agent, but criticized the shallow characters and plotlines, while audiences were happy to live vicariously in Chase’s hedonistic world. A 2015 movie that tied up some loose ends from the show garnered poor reviews and underperformed at the box office. Following its seven-year run, the show received 26 nominations, winning six awards."
Outlander                          ,8.4         ,2014–present                                                     ,"This Starz time travel drama sees a World War II nurse transported back to 18th-century Scotland, where she becomes a key player in the Jacobite rebellions. The series was adapted from a series of novels by Diana Gabaldon and developed by Ronald D. Moore, whose previous project was “Battlestar Galactica.” The series garnered four Emmy nominations, including Outstanding Period Costumes and Outstanding Music Composition For A Series."
The Legend of Korra                ,8.4         ,2012–2014                                                        ,"“The Legend of Korra” is Bryan Konietzko and Michael Dante DiMartino’s sequel to “Avatar: The Last Airbender.” The show follows the titular female protagonist as she navigates her complex universe which has found itself in conflict. The four-season animated series was praised for its production, writing, and, with respect to its youthful audience, thematic ambition. Among five Daytime Emmy nominations, the show took home one."
Banshee                            ,8.4         ,2013–2016                                                        ,"From Alan Ball, the creator of “True Blood,” came a show that was just as heavy on the adult scenes and violence, though without the supernatural elements of his HBO hit. “Banshee” chronicles the twisty dealings of an ex-con who assumes the identity of a small town’s new sheriff. Critics, however, were split on the show. Some found it too lurid and preposterous to recommend, while others recommended it for precisely those qualities. Even so, the show took home the Emmy for Outstanding Special Visual Effects in a Supporting Role in 2013."
The Americans                      ,8.4         ,2013-2018                                                        ,"This popular FX show, set during the Cold War, stars Keri Russell and Matthew Rhys. In it, the actors portray two undercover KGB officers living with their children near Washington, D.C. From the outset, critics praised the show’s compelling concept and thrilling storylines, and the show continued to receive rave reviews through its sixth and final season. What's more, the series received 18 Emmy nominations, winning four."
American Crime Story               ,8.4         ,2016–present                                                     ,"This acclaimed anthology series from Ryan Murphy recounts the stories of famous American crimes. The first season, which was nominated for 22 Emmy Awards, tackled the O.J. Simpson case, with Cuba Gooding, Jr. taking on the role of “The Juice” himself."
Stargate SG-1                      ,8.4         ,1997–2007                                                        ,"This series, based on the 1994 film “Stargate,” debuted on Showtime in 1997. (It would eventually move to the Syfy channel in 2002 to conclude its run.) Its storyline follows a military team that uses an ancient archway to travel the universe and battle alien threats. The leader, Col. Jack O’Neill (portrayed by Kurt Russell in the movie), is played by “MacGyver” star Richard Dean Anderson. Following its run, the show received eight Emmy nominations."
Billions                           ,8.4         ,2016–present                                                     ,"This Showtime drama pits billionaire hedge-fund manager Bobby (Damian Lewis) opposite the U.S. Attorney for the Southern District of New York (Paul Giamatti). The former is loosely based on Steven A. Cohen and the latter on Preet Bharara, as the world of New York City culture and finance is explored through insider trading, bribery, connections, affairs, and of course, power. The show has been nominated for several awards. Among its accolades includes those from the GLAAD Media Awards and Satellite Awards."
Ash vs Evil Dead                   ,8.4         ,2015–2018                                                        ,"The Starz original “Ash vs Evil Dead” aired for three seasons and successfully tackled the ultra-specific genre of horror-comedy. Taking place decades after the “Evil Dead” trilogy, the series sees Ash Williams (Bruce Campbell) re-emerge to defend humankind. Fans and critics appreciated its loyalty to the original material, its characters, and its well-executed combination of humor and action. For his acting on the show, Campbell took home the Best Actor on Television trophy at the Saturn Awards in 2016."
How I Met Your Mother              ,8.3         ,2005–2014                                                        ,"The hugely popular sitcom “How I Met Your Mother” ran for nine seasons beginning in the mid-2000s. It introduced with it a unique narrative style and blend of humor and romance to millions. In the future, Ted Mosby (Josh Radnor) recounts to his children how he met their mother when he was younger and living in New York City with his friends (Jason Segel, Cobie Smulders, Alyson Hannigan, and Neil Patrick Harris), experiencing the typical and atypical highs and lows of 20-somethings. The show received 30 Emmy nominations, winning 10."
Lost                               ,8.3         ,2004–2010                                                        ,"Even non-viewers of “Lost” could not escape the prevalent narrative and fascination of its massive fan base. The supernatural/sci-fi hit ran from the mid-2000s to 2010 for six seasons, as viewers pieced together what happened to the island survivors of a plane crash. “Lost” was nominated for hundreds of awards, including the Best Drama Emmy for its first season. The show also claimed a Golden Globe for its second season and is partly responsible for igniting J.J. Abrams’ career and inspiring a crop of nonlinear narrative shows."
Prison Break                       ,8.3         ,2005–2017                                                        ,"“Prison Break” follows one brother (Dominic Purcell) falsely sentenced to death and the brother (Wentworth Miller) who intentionally joins him in jail to hatch an escape plan. Coinciding with Fox’s success of “24,” this five-season drama fit in with national audiences attuned to primetime heart-pumping action. In 2006, the show received an Emmy nomination for Outstanding Original Main Title Theme Music. Although talks of reviving the series were happening as early as 2018, no reboot has come to fruition."
Homeland                           ,8.3         ,2011–2020                                                        ,"Showtime’s spy thriller “Homeland” ran for eight seasons. The Claire Danes-led show has earned near-universal praise throughout its run—particularly for its first two years (Best Drama Golden Globe for both). “Homeland” takes its audience into the highly risky, complicated world of CIA agent Carrie Mathison, her private life, covert professional operations in the Middle East, and all the consequences and undertones of 21st-century counter-terrorism. The show received 40 Emmy nominations, winning eight."
Scrubs                             ,8.3         ,2001–2010                                                        ,"Bill Lawrence’s medical drama/sitcom “Scrubs” ran for nine seasons over a decade. It follows, and is narrated by, J.D. (Zach Braff), as he navigates his hospital career and romantic life alongside best friend Turk (Donald Faison), on-again-off-again partner/friend Elliot (Sarah Chalke), and the intimidating, patronizing Dr. Cox (John C. McGinley). Largely praised by critics and fans in its earlier seasons, the often comedic and sometimes deeply emotional “Scrubs” was one of the more well-liked major network products of the 2000s. Additionally, “Scrubs” received 17 Emmy nominations."
Loki                               ,8.3         ,2021–present                                                     ,"“Loki” is a 2021 Marvel series created by Michael Waldron for Disney+ that picks up where the 2019 film “Avengers: Endgame” leaves off. The show features Tom Hiddleston reprising his role as the titular character. Additionally, the show broke barriers when the Marvel star was revealed to be a part of the LGBTQ+ community."
Californication                    ,8.3         ,2007–2014                                                        ,"The notion of the alcoholic, promiscuous writer torn and tossed between his ego, questionable fathering skills, and fledgling career is well-tread. But Tom Kapinos’ “Californication” addictively brings viewers into rock ’n’ roll-tinged Los Angeles for all of Hank Moody’s travails and self-realizations. The series ran for seven seasons and earned lead David Duchovny a Best Actor Golden Globe. The show also received several Emmy and Golden Globe Awards nominations."
Sense8                             ,8.3         ,2015–2018                                                        ,"Though Netflix cancelled its sci-fi drama “Sense8” following season two, fans and critics praised its striking visuals and LGBTQ+ thematic/character representation. Eight strangers find themselves psychically connected for unknown reasons and battle both this mystery and their hunters, the Biologic Preservation Organization, who, ever-applicably, despise the sensate breed’s differences. The show was also nominated for a Primetime Emmy for cinematography."
The Witcher                        ,8.2         ,2019–present                                                     ,"“The Witcher,” Netflix’s popular fantasy series, follows monster-hunter Geralt of Rivia (Henry Cavill) and his destiny connected to Princess Ciri (Freya Allan). Based on Polish author Andrzej Sapkowski’s novels, the eight-episode first season satisfied fans of dark fantasy (and fans of the 2007 role-playing video game) and generated high viewership, though even Cavill’s praiseworthy performance has not overcome its mostly average critical reception. The show garnered several Saturn Awards nominations, including Best Actor on Television for Cavill."